Numerator, Denominator, Average Time, Output
24, 10, 920, 1961256
25, 1, 116, 25
25, 2, 270, 300
25, 3, 225, 2300
25, 4, 416, 12650
25, 5, 329, 53130
25, 6, 416, 177100
25, 7, 550, 480700
25, 8, 691, 1081575
25, 9, 1254, 2042975
25, 10, 950, 3268760
26, 1, 120, 26
26, 2, 187, 325
26, 3, 358, 2600
26, 4, 329, 14950
26, 5, 379, 65780
26, 6, 729, 230230
26, 7, 666, 657800
26, 8, 883, 1562275
26, 9, 1158, 3124550
26, 10, 1370, 5311735
27, 1, 108, 27
27, 2, 279, 351
27, 3, 229, 2925
27, 4, 283, 17550
27, 5, 437, 80730
27, 6, 504, 296010
27, 7, 737, 888030
27, 8, 716, 2220075
27, 9, 858, 4686825
27, 10, 899, 8436285
28, 1, 212, 28
28, 2, 166, 378
28, 3, 233, 3276
28, 4, 370, 20475
28, 5, 424, 98280
28, 6, 629, 376740
28, 7, 604, 1184040
28, 8, 724, 3108105
28, 9, 733, 6906900
28, 10, 996, 13123110
29, 1, 99, 29
29, 2, 158, 406
29, 3, 254, 3654
29, 4, 308, 23751
29, 5, 545, 118755
29, 6, 504, 475020
29, 7, 674, 1560780
29, 8, 683, 4292145
29, 9, 958, 10015005
29, 10, 916, 20030010
30, 1, 120, 30
30, 2, 174, 435
30, 3, 254, 4060
30, 4, 420, 27405
30, 5, 362, 142506
30, 6, 516, 593775
30, 7, 537, 2035800
30, 8, 812, 5852925
30, 9, 741, 14307150
30, 10, 879, 30045015
31, 1, 120, 31
31, 2, 179, 465
31, 3, 358, 4495
31, 4, 320, 31465
31, 5, 466, 169911
31, 6, 483, 736281
31, 7, 604, 2629575
31, 8, 754, 7888725
31, 9, 816, 20160075
31, 10, 891, 44352165
32, 1, 116, 32
32, 2, 683, 496
32, 3, 237, 4960
32, 4, 358, 35960
32, 5, 391, 201376
32, 6, 483, 906192
32, 7, 633, 3365856
32, 8, 637, 10518300
32, 9, 845, 28048800
32, 10, 899, 64512240
33, 1, 112, 33
33, 2, 154, 528
33, 3, 358, 5456
33, 4, 283, 40920
33, 5, 371, 237336
33, 6, 570, 1107568
33, 7, 625, 4272048
33, 8, 721, 13884156
33, 9, 762, 38567100
33, 10, 1000, 92561040
34, 1, 112, 34
34, 2, 250, 561
34, 3, 229, 5984
34, 4, 295, 46376
34, 5, 462, 278256
34, 6, 487, 1344904
34, 7, 654, 5379616
34, 8, 666, 18156204
34, 9, 949, 52451256
34, 10, 1008, 131128140
35, 1, 187, 35
35, 2, 208, 595
35, 3, 225, 6545
35, 4, 312, 52360
35, 5, 350, 324632
35, 6, 533, 1623160
35, 7, 533, 6724520
35, 8, 758, 23535820
35, 9, 804, 70607460
35, 10, 966, 183579396
36, 1, 708, 36
36, 2, 241, 630
36, 3, 279, 7140
36, 4, 366, 58905
36, 5, 420, 376992
36, 6, 433, 1947792
36, 7, 670, 8347680
36, 8, 641, 30260340
36, 9, 783, 94143280
36, 10, 841, 254186856
37, 1, 204, 37
37, 2, 208, 666
37, 3, 270, 7770
37, 4, 383, 66045
37, 5, 362, 435897
37, 6, 1487, 2324784
37, 7, 537, 10295472
37, 8, 808, 38608020
37, 9, 745, 124403620
37, 10, 1020, 348330136
38, 1, 104, 38
38, 2, 154, 703
38, 3, 296, 8436
38, 4, 320, 73815
38, 5, 549, 501942
38, 6, 479, 2760681
38, 7, 670, 12620256
38, 8, 729, 48903492
38, 9, 904, 163011640
38, 10, 949, 472733756
39, 1, 112, 39
39, 2, 162, 741
39, 3, 229, 9139
39, 4, 449, 82251
39, 5, 454, 575757
39, 6, 512, 3262623
39, 7, 687, 15380937
39, 8, 741, 61523748
39, 9, 866, 211915132
39, 10, 1208, 635745396
40, 1, 133, 40
40, 2, 175, 780
40, 3, 483, 9880
40, 4, 266, 91390
40, 5, 325, 658008
40, 6, 437, 3838380
40, 7, 545, 18643560
40, 8, 749, 76904685
40, 9, 758, 273438880
40, 10, 958, 847660528
41, 1, 120, 41
41, 2, 308, 820
41, 3, 225, 10660
41, 4, 300, 101270
41, 5, 399, 749398
41, 6, 495, 4496388
41, 7, 729, 22481940
41, 8, 733, 95548245
41, 9, 854, 350343565
41, 10, 904, 1121099408
42, 1, 120, 42
42, 2, 158, 861
42, 3, 308, 11480
42, 4, 295, 111930
42, 5, 391, 850668
42, 6, 504, 5245786
42, 7, 524, 26978328
42, 8, 691, 118030185
42, 9, 816, 445891810
42, 10, 1020, 1471442973
43, 1, 112, 43
43, 2, 245, 903
43, 3, 224, 12341
43, 4, 333, 123410
43, 5, 487, 962598
43, 6, 491, 6096454
43, 7, 629, 32224114
43, 8, 712, 145008513
43, 9, 954, 563921995
43, 10, 991, 1917334783
44, 1, 208, 44
44, 2, 225, 946
44, 3, 291, 13244
44, 4, 375, 135751
44, 5, 391, 1086008
44, 6, 583, 7059052
44, 7, 1749, 38320568
44, 8, 929, 177232627
44, 9, 870, 708930508
44, 10, 1150, 2481256778
45, 1, 125, 45
45, 2, 25137, 990
45, 3, 220, 14190
45, 4, 283, 148995
45, 5, 337, 1221759
45, 6, 429, 8145060
45, 7, 670, 45379620
45, 8, 683, 215553195
45, 9, 887, 886163135
45, 10, 933, 3190187286
46, 1, 249, 46
46, 2, 162, 1035
46, 3, 746, 15180
46, 4, 412, 163185
46, 5, 358, 1370754
46, 6, 616, 9366819
46, 7, 587, 53524680
46, 8, 825, 260932815
46, 9, 803, 1101716330
46, 10, 1079, 4076350421
