Numerator, Denominator, Average Time, Output
25, 4, 86, 12650
25, 5, 83, 53130
25, 6, 96, 177100
25, 7, 101, 480700
25, 8, 105, 1081575
25, 9, 122, 2042975
25, 10, 133, 3268760
26, 1, 67, 26
26, 2, 69, 325
26, 3, 77, 2600
26, 4, 107, 14950
26, 5, 98, 65780
26, 6, 110, 230230
26, 7, 106, 657800
26, 8, 114, 1562275
26, 9, 107, 3124550
26, 10, 156, 5311735
27, 1, 69, 27
27, 2, 73, 351
27, 3, 90, 2925
27, 4, 79, 17550
27, 5, 86, 80730
27, 6, 129, 296010
27, 7, 130, 888030
27, 8, 6913, 2220075
27, 9, 13520, 4686825
27, 10, 89973, 8436285
28, 1, 13572, 28
28, 2, 1411, 378
28, 3, 215, 3276
28, 4, 75, 20475
28, 5, 99, 98280
28, 6, 80, 376740
28, 7, 95, 1184040
28, 8, 88, 3108105
28, 9, 108, 6906900
28, 10, 98, 13123110
29, 1, 64, 29
29, 2, 56, 406
29, 3, 55, 3654
29, 4, 80, 23751
29, 5, 70, 118755
29, 6, 81, 475020
29, 7, 95, 1560780
29, 8, 205, 4292145
29, 9, 207, 10015005
29, 10, 112, 20030010
30, 1, 57, 30
30, 2, 1847, 435
30, 3, 59505, 4060
30, 4, 6017, 27405
30, 5, 684, 142506
30, 6, 130, 593775
30, 7, 79, 2035800
30, 8, 78, 5852925
30, 9, 87, 14307150
30, 10, 91, 30045015
31, 1, 55, 31
31, 2, 55, 465
31, 3, 59, 4495
31, 4, 68, 31465
31, 5, 73, 169911
31, 6, 82, 736281
31, 7, 95, 2629575
31, 8, 80, 7888725
31, 9, 99, 20160075
31, 10, 105, 44352165
32, 1, 68, 32
32, 2, 52, 496
32, 3, 71, 4960
32, 4, 65, 35960
32, 5, 69, 201376
32, 6, 73, 906192
32, 7, 69, 3365856
32, 8, 86, 10518300
32, 9, 92, 28048800
32, 10, 84, 64512240
33, 1, 50, 33
33, 2, 63, 528
33, 3, 56, 5456
33, 4, 68, 40920
33, 5, 69, 237336
33, 6, 86, 1107568
33, 7, 104, 4272048
33, 8, 101, 13884156
33, 9, 80, 38567100
33, 10, 95, 92561040
34, 1, 55, 34
34, 2, 51, 561
34, 3, 67, 5984
34, 4, 60, 46376
34, 5, 114, 278256
34, 6, 86, 1344904
34, 7, 87, 5379616
34, 8, 79, 18156204
34, 9, 86, 52451256
34, 10, 91, 131128140
35, 1, 54, 35
35, 2, 51, 595
35, 3, 59, 6545
35, 4, 68, 52360
35, 5, 69, 324632
35, 6, 69, 1623160
35, 7, 77, 6724520
35, 8, 74, 23535820
35, 9, 78, 70607460
35, 10, 82, 183579396
36, 1, 62, 36
36, 2, 52, 630
36, 3, 71, 7140
36, 4, 57, 58905
36, 5, 64, 376992
36, 6, 77, 1947792
36, 7, 111, 8347680
36, 8, 110, 30260340
36, 9, 110, 94143280
36, 10, 106, 254186856
37, 1, 56, 37
37, 2, 64, 666
37, 3, 64, 7770
37, 4, 81, 66045
37, 5, 74, 435897
37, 6, 65, 2324784
37, 7, 102, 10295472
37, 8, 93, 38608020
37, 9, 80, 124403620
37, 10, 87, 348330136
38, 1, 62, 38
38, 2, 72, 703
38, 3, 69, 8436
38, 4, 69, 73815
38, 5, 65, 501942
38, 6, 69, 2760681
38, 7, 90, 12620256
38, 8, 79, 48903492
38, 9, 91, 163011640
38, 10, 84, 472733756
39, 1, 66, 39
39, 2, 189, 741
39, 3, 4589, 9139
39, 4, 554, 82251
39, 5, 184, 575757
39, 6, 135, 3262623
39, 7, 96, 15380937
39, 8, 101, 61523748
39, 9, 85, 211915132
39, 10, 87, 635745396
40, 1, 54, 40
40, 2, 51, 780
40, 3, 63, 9880
40, 4, 77, 91390
40, 5, 82, 658008
40, 6, 95, 3838380
40, 7, 80, 18643560
40, 8, 78, 76904685
40, 9, 112, 273438880
40, 10, 94, 847660528
41, 1, 55, 41
41, 2, 63, 820
41, 3, 68, 10660
41, 4, 69, 101270
41, 5, 107, 749398
41, 6, 110, 4496388
41, 7, 98, 22481940
41, 8, 93, 95548245
41, 9, 109, 350343565
41, 10, 94, 1121099408
42, 1, 71, 42
42, 2, 61, 861
42, 3, 68, 11480
42, 4, 102, 111930
42, 5, 76, 850668
42, 6, 78, 5245786
42, 7, 82, 26978328
42, 8, 79, 118030185
42, 9, 87, 445891810
42, 10, 100, 1471442973
43, 1, 60, 43
43, 2, 68, 903
43, 3, 85, 12341
43, 4, 79, 123410
43, 5, 91, 962598
43, 6, 76, 6096454
43, 7, 107, 32224114
43, 8, 85, 145008513
43, 9, 100, 563921995
43, 10, 97, 1917334783
44, 1, 63, 44
44, 2, 77, 946
44, 3, 78, 13244
44, 4, 78, 135751
44, 5, 70, 1086008
44, 6, 86, 7059052
44, 7, 125, 38320568
44, 8, 83, 177232627
44, 9, 83, 708930508
44, 10, 95, 2481256778
45, 1, 59, 45
45, 2, 51, 990
45, 3, 46, 14190
45, 4, 54, 148995
45, 5, 68, 1221759
45, 6, 69, 8145060
45, 7, 65, 45379620
45, 8, 73, 215553195
45, 9, 99, 886163135
